#curie_map:
#  MESH: http://id.nlm.nih.gov/mesh/
#  CL: http://purl.obolibrary.org/obo/CL_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  GO: http://purl.obolibrary.org/obo/GO_
#  OBA: http://purl.obolibrary.org/obo/OBA_
#  skos: http://www.w3.org/2004/02/skos/core
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_provider: https://www.ebi.ac.uk
#mapping_set_group: obo_mesh_mappings
#mapping_set_id: obo_mesh
#mapping_set_title: 'OBO Ontology Mappings to MeSH'
#object_source: https://nlmpubs.nlm.nih.gov/projects/mesh/rdf/mesh.nt.gz
#subject_source: http://purl.obolibrary.org/obo/cl.owl
#subject_source: http://purl.obolibrary.org/obo/uberon.owl
#subject_source: http://purl.obolibrary.org/obo/go.owl
#subject_source: http://purl.obolibrary.org/obo/oba.owl
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	confidence	mapping_date	author_id	object_uri
CL:0000740	retinal ganglion cell	skos:exactMatch	M0018946	Retinal Ganglion Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0018946
CL:0000745	retina horizontal cell	skos:exactMatch	M0479896	Retinal Horizontal Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0479896
CL:0000746	cardiac muscle cell	skos:exactMatch	M0400427	Myocytes, Cardiac	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0400427
CL:0000748	retinal bipolar neuron	skos:exactMatch	M0479891	Retinal Bipolar Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0479891
CL:0000765	erythroblast	skos:exactMatch	M0007689	Erythroblasts	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0007689
CL:0000771	eosinophil	skos:exactMatch	M0007534	Eosinophils	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0007534
CL:0000775	neutrophil	skos:exactMatch	M0014784	Neutrophils	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0014784
CL:0000786	plasma cell	skos:exactMatch	M0016978	Plasma Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0016978
CL:0000787	memory B cell	skos:exactMatch	M000748185	Memory B Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M000748185
CL:0000795	CD8-positive, alpha-beta regulatory T cell	skos:exactMatch	M0027643	CD8-Positive T-Lymphocytes	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0027643
